0-ID,图片,名字(空白不显示),动作,对白,背景文字,5-人物位置,显示框架,下一句,自动切换帧数,选择,10-选择文本1,跳至1,选择文本2,跳至2,选择文本3,跳至3,分支条件,条件跳至,不成立跳至,进入scene,执行脚本名
57,杨超越、姜彦汐,杨超越,,扑通扑通，我的心跳得好快！千万不能输啊，如果输了我们这组就没有希望了。,,,,58,,,,,,,,,,,,,
58,黄子韬,黄子韬,,获胜的是姜彦汐组！,,,,59,,,,,,,,,,,,,
59,杨超越、姜彦汐,杨超越,愣住，抱住姜彦汐，哭了出来。,,,,,60,,,,,,,,,,,,,
60,杨超越、姜彦汐,杨超越,,我没有拖后腿！！！！,,,,61,,,,,,,,,,,,,
61,杨超越、姜彦汐,杨超越、姜彦汐,鞠躬,谢谢大家！！,,,,62,,,,,,,,,,,,,
62,宿舍,,,,开心时刻的坏消息,,,63,,,,,,,,,,,,,
63,杨超越,杨超越,坐在桌子前吃泡面,,,,,64,,,,,,,,,,,,,
64,杨超越,杨超越,内心独白,今天超开心！我的团队赢了！,,,,65,,,,,,,,,,,,,
65,杨超越,杨超越,拍大腿,啊！！爽啊！,,,,66,,,,,,,,,,,,,
66,杨超越,杨超越,内心独白,吃完出去扔垃圾~~~~~,,,,67,,,,,,,,,,,,,
67,宿舍外面,,,,,,,68,,,,,,,,,,,,,
68,路人1和路人2,路人1,,哎呀是杨超越。你听说了吗？她在网上又红了，又上热搜了。大家说她diss菊姐不够少女呢。,,,,69,,,,,,,,,,,,,
69,路人1和路人3,路人2,,就她那废柴样子，还好意思说别人。,,,,70,,,,,,,,,,,,,
70,杨超越,杨超越,心里一惊,我没有攻击别人的意思啊！,,,,71,,,,,,,,,,,,,
71,杨超越,杨超越,叹气,唉~~~我还以为能低调一点呢。,,,,72,,,,,,,,,,,,,
